Credit Note Number,Credit Note Reference,Credit From Bill,Billing Supplier,Supplier,Supplier Acc. No,Date,Description,Quantity,Unit Price,Net Amount,Tax Amount,Total Amount,Stock Number,Stock Name,Inventory Asset Account Code,Inventory Asset Account Name,Purchase Account Code,Purchase Account,Tags,Created At,Finalized
20,3940351442,3940350169,REPCO Chinchilla,REPCO Chinchilla,"",28/03/2023,8938 - PUNCH-DRIFT STRAIGHT BRASS,1.0,84.0,84.0,8.4,92.4,8938,PUNCH-DRIFT STRAIGHT BRASS,,,,,"",2023-03-29 14:33:40 +1000,Y
20,3940351442,3940350169,REPCO Chinchilla,REPCO Chinchilla,"",28/03/2023,7060 - 12LB DEAD BLOW HAMMER 930MM,1.0,316.27,316.27,31.627,347.9,7060,12LB DEAD BLOW HAMMER 930MM,,,,,"",2023-03-29 14:33:40 +1000,Y
20,3940351442,3940350169,REPCO Chinchilla,REPCO Chinchilla,"",28/03/2023,10245 - TOOL LINK ADJUSTABLE CROWS FOOT,1.0,77.63,77.63,7.763,85.39,10245,TOOL LINK ADJUSTABLE CROWS FOOT,,,,,"",2023-03-29 14:33:40 +1000,Y
21,3940351439,3940348987,REPCO Chinchilla,REPCO Chinchilla,"",28/03/2023,Z794 - RYCO OIL FILTER,1.0,18.75,18.75,1.875,20.63,Z794,RYCO OIL FILTER,,,,,"",2023-03-29 14:34:23 +1000,Y
22,EC044198,,TYRES 4U,TYRES 4U,"",29/03/2023,AR7571103 - 11R22.5 ARST2 146/143M ARIVO,8.0,270.0,2160.0,216.0,2376.0,AR7571103,11R22.5 ARST2 146/143M ARIVO,,,,,"",2023-04-04 09:29:19 +1000,Y
23,EC044185,,TYRES 4U,TYRES 4U,"",24/03/2023,AR7581801 - NR-385/65R22.5 ARST4 160L ARIVO,2.0,441.0,882.0,88.2,970.2,AR7581801,385/65R22.5 ARST4 160L ARIVO,,,,,"",2023-04-04 09:33:29 +1000,Y
24,2459694,2456959,DYNAMIC WHEELS,DYNAMIC WHEELS,"",06/04/2023,16820P6130B - DYNAMIC 16x8 20P 6x130 CB75.6 BLACK,1.0,84.0,84.0,8.4,92.4,16820P6130B,DYNAMIC 16x8 20P 6x130 CB75.6 BLACK,,,,,"",2023-04-11 10:21:31 +1000,Y
25,3940353437,3940348058-1,REPCO Chinchilla,REPCO Chinchilla,"",20/04/2023,TSD1757 - DRUM BRAKE,1.0,177.0,177.0,17.7,194.7,TSD1757,DRUM BRAKE,,,,,"",2023-04-20 19:04:01 +1000,Y
25,3940353437,3940348058-1,REPCO Chinchilla,REPCO Chinchilla,"",20/04/2023,DBA2716E - ROTOR DISC BRAKE,2.0,120.91,241.82,24.182,266.0,DBA2716E,ROTOR DISC BRAKE,,,,,"",2023-04-20 19:04:01 +1000,Y
25,3940353437,3940348058-1,REPCO Chinchilla,REPCO Chinchilla,"",20/04/2023,DBA790S - ROTOR-DISC BRAKE,2.0,179.64,359.28,35.928,395.21,DBA790S,ROTOR-DISC BRAKE,,,,,"",2023-04-20 19:04:01 +1000,Y
26,3940353436,3940348058-1,REPCO Chinchilla,REPCO Chinchilla,"",20/04/2023,DBA2132E - ROTOR-DISC BRAKE,2.0,157.19,314.38,31.438,345.82,DBA2132E,ROTOR-DISC BRAKE,,,,,"",2023-04-20 19:05:32 +1000,Y
26,3940353436,3940348058-1,REPCO Chinchilla,REPCO Chinchilla,"",20/04/2023,DBA794 - ROTOR DISC BRAKE,2.0,101.05,202.1,20.21,222.31,DBA794,ROTOR DISC BRAKE,,,,,"",2023-04-20 19:05:32 +1000,Y
