PO Number,PO Status,Supplier,Creditor,Date,Due Date,Description,Category,Unit Price,Quantity,Net Amount,Tax Amount,Total Amount,Taxable,Stock Number,Stock Brand,Stock Name,Stock Barcode,Job Number
PO100022,paid,EARTHMOVING EQUIPMENT AUSTRALIA,,04/03/2024,,IH-47585451 - Filter Fuel,Parts,47.41,1.0,47.41,4.741,52.15,Y,IH-47585451,,Filter Fuel,,
PO100022,paid,EARTHMOVING EQUIPMENT AUSTRALIA,,04/03/2024,,IH-47518440 - Filter Fuel,Parts,64.41,1.0,64.41,6.441,70.85,Y,IH-47518440,,Filter Fuel,,
PO100023,paid,Western Truck Group,,04/03/2024,05/03/2024,984815 - Flange Screw,Parts,4.66,12.0,55.92,5.592,61.51,Y,984815,volvo,Flange Screw,,54676
PO100024,paid,Power Crank,,04/03/2024,,DIN66HSMF - European series starting battery,Batteries,123.86,6.0,743.16,74.316,817.48,Y,DIN66HSMF,Power crank,European series starting battery,,
PO100024,paid,Power Crank,,04/03/2024,,EXSNX120-7SMF - 1000 CCA Extreme Series Starting Battery,Batteries,154.55,12.0,1854.6,185.46,2040.06,Y,EXSNX120-7SMF,power crank,1000 CCA Extreme Series Starting Battery,,
PO100024,paid,Power Crank,,04/03/2024,,NS70LSMF - 4x4/Awd Series starting battery,Batteries,114.25,4.0,457.0,45.7,502.7,Y,NS70LSMF,Power crank,4x4/Awd Series starting battery,,
PO100024,paid,Power Crank,,04/03/2024,,DIN66HSMF - European series starting battery,Batteries,123.86,2.0,247.72,24.772,272.49,Y,DIN66HSMF,Power crank,European series starting battery,,
PO100024,paid,Power Crank,,04/03/2024,,NS70MSMF - Marine series deep cycle & starting battery,Batteries,147.73,3.0,443.19,44.319,487.51,Y,NS70MSMF,powercrank,Marine series deep cycle & starting battery,,
PO100026,paid,REPCO Chinchilla,,05/03/2024,,322025B - HPP exhaust wrap black 2inx25ft,Parts,55.0,1.0,55.0,5.5,60.5,Y,322025B,,HPP exhaust wrap black 2inx25ft,,
PO100027,paid,REPCO Chinchilla,,05/03/2024,,BIC - PRODUCT RECOVERY,Parts,59.09,1.0,59.09,5.909,65.0,Y,BIC,REPCO,PRODUCT RECOVERY,,
PO100027,paid,REPCO Chinchilla,,05/03/2024,,TLX441500-PR - EXHAUST SYSTEM,Parts,1217.0,1.0,1217.0,121.7,1338.7,Y,TLX441500-PR,,EXHAUST SYSTEM,,
PO100028,paid,YOKOHAMA TYRE AUST PTY LTD,,05/03/2024,,2657516G016 - LT265/75R16 123Q G016 X-AT,4WD Tyres,225.52,1.0,225.52,22.552,248.07,Y,2657516G016,yokohamah,LT265/75R16 123Q G016 X-AT,,
PO100029,paid,BLACK TOYOTA,,05/03/2024,,871030K380 - Motor Sub-Assy Blow,Parts,443.84,1.0,443.84,44.384,488.22,Y,871030K380,toyota,Motor Sub-Assy Blow,,
PO100030,paid,AUSTRALIAN TYRE TRADERS,,05/03/2024,,HA11R225307M - HAULMAX 11R22.5 16PR TL ATT307 CRC DRIVE,Truck Tyres,355.0,8.0,2840.0,284.0,3124.0,Y,HA11R225307M,Haulmax,HAULMAX 11R22.5 16PR TL ATT307 CRC DRIVE,,54780
PO100021/1,paid,HASTINGS DEERING,,04/03/2024,,2318133 - Panel Filter,Parts,75.08,1.0,75.08,7.508,82.59,Y,2318133,cat,Panel Filter,,
PO100021/1,paid,HASTINGS DEERING,,04/03/2024,,SRS-A-1000 - SRS501UP,Parts,321.28,1.0,321.28,32.128,353.41,Y,SRS-A-1000,cat,SRS501UP,,
PO100031,paid,TYRES 4U,,07/03/2024,,100A3029 - Giti 245/75R17 112T 4x4 AT70,4WD Tyres,253.0,2.0,506.0,50.6,556.6,Y,100A3029,giti,Giti 245/75R17 112T 4x4 AT70,,
PO100032,paid,AUSTRALIAN TYRE TRADERS,,11/03/2024,,HA31580R225106 - Haulmax 315/80R22.5 TL 167/164R ATT106,Truck Tyres,586.0,40.0,23440.0,2344.0,25784.0,Y,HA31580R225106,Haulmax,Haulmax 315/80R22.5 TL 167/164R ATT106,,54827
PO100035,paid,REPCO Chinchilla,,12/03/2024,,MTB6064B - Bush Kit Traling Arm Upper,Parts,44.55,1.0,44.55,4.455,49.01,Y,MTB6064B,,Bush Kit Traling Arm Upper,,
PO100036,paid,Savcom,,12/03/2024,,HI222060200 - HiTec Fleetmaster CK-4 15W40,Oils & Grease,5.5292,200.0,1105.84,110.584,1216.42,Y,HI222060200,,HiTec Fleetmaster CK-4 15W40,,
PO100036,paid,Savcom,,12/03/2024,,HI121330200 - 5w30 Synplus Hi-Tech Engine Oil,Mechanical,7.1094,200.0,1421.88,142.188,1564.07,Y,HI121330200,Hi Tech,5w30 Synplus Hi-Tech Engine Oil,,
PO100036,paid,Savcom,,12/03/2024,,31040 - Wynn's Rust Penetrant 400g,Consumables,9.0,12.0,108.0,10.8,118.8,Y,31040,Wynns,Wynn's Rust Penetrant 400g,,
PO100037,paid,TOOWOOMBA TRUCK SPARES,,13/03/2024,,R955341 - Sensor ABS 90DEG 1.7M,Parts,73.97,1.0,73.97,7.397,81.37,Y,R955341,,Sensor ABS 90DEG 1.7M,,
PO100037,paid,TOOWOOMBA TRUCK SPARES,,13/03/2024,,82560NAR - 12/24V 7 Core EBS Suzi 4.5m,Parts,229.2,1.0,229.2,22.92,252.12,Y,82560NAR,,12/24V 7 Core EBS Suzi 4.5m,,
PO100037,paid,TOOWOOMBA TRUCK SPARES,,13/03/2024,,K3196 - Repair Kit For A7318 Valve,Parts,59.15,1.0,59.15,5.915,65.07,Y,K3196,,Repair Kit For A7318 Valve,,
PO100037,paid,TOOWOOMBA TRUCK SPARES,,13/03/2024,,C042501HD - PTO Switch - Detent,Parts,90.0,2.0,180.0,18.0,198.0,Y,C042501HD,,PTO Switch - Detent,,
PO100037,paid,TOOWOOMBA TRUCK SPARES,,13/03/2024,,0517223003 - Cap Radiator 16LB,Parts,19.8,1.0,19.8,1.98,21.78,Y,0517223003,,Cap Radiator 16LB,,
PO100037,paid,TOOWOOMBA TRUCK SPARES,,13/03/2024,,6818872414 - Catch Bonnet Const Plastic,Parts,9.99,1.0,9.99,0.999,10.99,Y,6818872414,,Catch Bonnet Const Plastic,,
PO100037,paid,TOOWOOMBA TRUCK SPARES,,13/03/2024,,1868X4X4 - Fitting 1/4 Nylon - 1/4 BSP QC,Parts,4.57,10.0,45.7,4.57,50.27,Y,1868X4X4,,Fitting 1/4 Nylon - 1/4 BSP QC,,
PO100038,paid,TOP TYRES AUSTRAILIA PTY LTD,,13/03/2024,,K2158516C - 215/85R16C 120L TL KR-100 Kenda,Car Tyres,160.0,1.0,160.0,16.0,176.0,Y,K2158516C,kenda,215/85R16C 120L TL KR-100 Kenda,,
PO100039,paid,TOOWOOMBA TRUCK SPARES,,13/03/2024,,RM615A-A - REAR MARKER LH 600X150MM ALUM,Mechanical Consumables,18.85,1.0,18.85,1.885,20.74,Y,RM615A-A,,REAR MARKER LH 600X150MM ALUM,,
PO100039,paid,TOOWOOMBA TRUCK SPARES,,13/03/2024,,RM615B-A - REAR MARKER RH 600X150MM ALUM,Mechanical Consumables,18.85,1.0,18.85,1.885,20.74,Y,RM615B-A,,REAR MARKER RH 600X150MM ALUM,,
PO100039,paid,TOOWOOMBA TRUCK SPARES,,13/03/2024,,RDPMGB - Mud Guard RDP Black,Parts,62.84,1.0,62.84,6.284,69.12,Y,RDPMGB,,Mud Guard RDP Black,,
PO100039,paid,TOOWOOMBA TRUCK SPARES,,13/03/2024,,KSMA2124707QP - Drive Qplus Kit Shoes Lined,Parts,134.03,1.0,134.03,13.403,147.43,Y,KSMA2124707QP,,Drive Qplus Kit Shoes Lined,,
PO100039,paid,TOOWOOMBA TRUCK SPARES,,13/03/2024,,AS1140 - Slack Adjuster Auto 1.5x28SP 5.5,Parts,232.79,1.0,232.79,23.279,256.07,Y,AS1140,,Slack Adjuster Auto 1.5x28SP 5.5,,
PO100039,paid,TOOWOOMBA TRUCK SPARES,,13/03/2024,,7050-060-6860 - Lower Bush Fitting Kit Koni,Parts,43.41,4.0,173.64,17.364,191.0,Y,7050-060-6860,,Lower Bush Fitting Kit Koni,,
PO100040,paid,REPCO Chinchilla,,13/03/2024,,94210 - LED TAILLIGHT COMB,Lighting,128.0,0.0,0.0,0.0,0.0,Y,94210,,LED TAILLIGHT COMB,,
