Credit Note Number,Credit From Invoice,Customer,Special Account Number,Date,Description,Details,Unit Price,Quantity,Net Amount,Tax Amount,Total Amount,Taxable,Stock Number,Stock Name,Inventory Asset Account Code,Inventory Asset Account Name,Sales Account Code,Sales Account Name,Raised By,Tags,Created At,Tracking Category Names,Tracking Category Values,Finalized
CRD1228,WAN55575,ELDERS,,11/07/2024,SCRAP - Recycle charge,,9.4,2.0,18.8,1.88,20.68,Y,SCRAP,Recycle charge,,,,,David Smith,"",2024-07-11 09:43:55 +1000,"","",Y
CRD1228,WAN55575,ELDERS,,11/07/2024,Rounding to 5c,,0.02,1.0,0.02,0,0.02,N,,,,,,,David Smith,"",2024-07-11 09:43:55 +1000,"","",Y
CRD1229,WAN55759,ELDERS,,11/07/2024,RWC - Road worthy inspection,,130.0,1.0,130.0,13.0,143.0,Y,RWC,Road worthy inspection,,,,,David Smith,"",2024-07-11 09:45:35 +1000,"","",Y
CRD1230,WAN55502,ELDERS,,11/07/2024,K2057015CKR33 - 205/70R15C 106R TL KR-33A Kenda,,146.3,5.0,731.5,73.15,804.65,Y,K2057015CKR33,205/70R15C 106R TL KR-33A Kenda,,,,,David Smith,"",2024-07-11 09:46:32 +1000,"","",Y
CRD1230,WAN55502,ELDERS,,11/07/2024,LVF - Light Vehicle Fit/ Strip/ Balance,,20.0,5.0,100.0,10.0,110.0,Y,LVF,Light Vehicle Fit/ Strip/ Balance,,,,,David Smith,"",2024-07-11 09:46:32 +1000,"","",Y
CRD1231,,Ryan Bliesner Welding Wandoan,,31/05/2024,code/description,,1072.5,1.0,1072.5,107.25,1179.75,Y,,,,,,,Christine,"",2024-07-12 14:21:28 +1000,"","",N
CRD1233,,Rugby Transport,,01/07/2024,COF - Call Out Fee,"",110.0,1.0,110.0,11.0,121.0,Y,COF,Call Out Fee,,,,,Christine,"",2024-07-16 11:28:39 +1000,"","",N
CRD1233,,Rugby Transport,,01/07/2024,TRAVEL - Travel per Kilometer,"",2.1,190.0,399.0,39.9,438.9,Y,TRAVEL,Travel per Kilometer,,,,,Christine,"",2024-07-16 11:28:39 +1000,"","",N
CRD1233,,Rugby Transport,,01/07/2024,LAB - Tyre Fitter Labour,"",100.0,7.0,700.0,70.0,770.0,Y,LAB,Tyre Fitter Labour,,,,,Christine,"",2024-07-16 11:28:39 +1000,"","",N
CRD1233,,Rugby Transport,,01/07/2024,EVT11225828 - 11R22.5 148/145M EA828 EVERGREEN,,341.13,4.0,1364.52,136.452,1500.972,Y,EVT11225828,11R22.5 148/145M EA828 EVERGREEN,,,,,Christine,"",2024-07-16 11:28:39 +1000,"","",N
CRD1233,,Rugby Transport,,01/07/2024,TFIT - Truck Tyre Fit & Strip,"",33.0,4.0,132.0,13.2,145.2,Y,TFIT,Truck Tyre Fit & Strip,,,,,Christine,"",2024-07-16 11:28:39 +1000,"","",N
CRD1233,,Rugby Transport,,01/07/2024,Rounding,,-0.02,1.0,-0.02,-0.002,-0.022,Y,,,,,,,Christine,"",2024-07-16 11:28:39 +1000,"","",N
